# S/N, sampno, secs from file start, boxcar, idt, dm, beamno,mjd, sampno_start, sampno_end, idt_start, idt_end, ncands
0.5 0.0 60.440 1445001 1445.001 0 1 0.270 0 57946.543763487003162 1445001 1445134 1 136 29
0.5 0.0 60.500 845001 845.001 0 1 0.270 0 57946.536819041997660 845001 845113 1 115 41
0.5 0.0 60.700 1925001 1925.001 0 1 0.270 0 57946.549319042002026 1925001 1925120 1 127 9
0.5 0.0 60.850 605001 605.001 0 1 0.270 0 57946.534041264996631 605001 605080 1 82 11
0.5 0.0 60.850 785001 785.001 0 1 0.270 0 57946.536124598002061 785001 785096 1 104 19
0.5 0.0 60.920 1865001 1865.001 0 1 0.270 0 57946.548624597999151 1865001 1865087 1 90 30
0.5 0.0 60.950 2465002 2465.002 1 1 0.270 0 57946.555569053998624 2465002 2465119 1 125 14
0.5 0.0 61.040 125001 125.001 0 1 0.270 0 57946.528485709000961 125001 125097 1 104 25
0.5 0.0 61.130 65001 65.001 0 1 0.270 0 57946.527791264998086 65001 65096 1 95 16
0.5 0.0 61.140 1985002 1985.002 1 1 0.270 0 57946.550013498002954 1985002 1985082 1 84 33
0.5 0.0 61.460 2345001 2345.001 0 1 0.270 0 57946.554180152998015 2345001 2345121 1 122 6
0.5 0.0 61.510 2045002 2045.002 1 1 0.270 0 57946.550707943002635 2045002 2045116 1 119 21
0.5 0.0 61.520 185001 185.001 0 1 0.270 0 57946.529180152996560 185001 185081 1 81 30
0.5 0.0 61.530 1745001 1745.001 0 1 0.270 0 57946.547235708996595 1745001 1745119 1 119 29
0.5 0.0 61.550 1325001 1325.001 0 1 0.270 0 57946.542374598000606 1325001 1325094 1 105 37
0.5 0.0 61.680 1265002 1265.002 1 1 0.270 0 57946.541680164998979 1265002 1265122 1 125 30
0.5 0.0 61.700 425001 425.001 0 1 0.270 0 57946.531957931001671 425001 425088 1 103 40
0.5 0.0 61.760 2285002 2285.002 1 1 0.270 0 57946.553485721000470 2285002 2285109 1 110 44
0.5 0.0 61.760 2705001 2705.001 0 1 0.270 0 57946.558346819998405 2705001 2705112 1 119 22
0.5 0.0 61.780 2165002 2165.002 1 1 0.270 0 57946.552096831997915 2165002 2165070 1 84 24
0.5 0.0 61.820 2885001 2885.001 0 1 0.270 0 57946.560430152996560 2885001 2885118 1 118 36
0.5 0.0 61.920 965002 965.002 1 1 0.270 0 57946.538207942998270 965002 965136 1 137 30
0.5 0.0 61.960 1205001 1205.001 0 1 0.270 0 57946.540985708998051 1205001 1205117 1 127 8
0.5 0.0 61.960 245001 245.001 0 1 0.270 0 57946.529874598003516 245001 245137 1 138 37
0.5 0.0 61.990 2225001 2225.001 0 1 0.270 0 57946.552791264999541 2225001 2225105 1 111 16
0.5 0.0 62.040 365002 365.002 1 1 0.270 0 57946.531263498000044 365002 365099 1 108 12
0.5 0.0 62.040 905001 905.001 0 1 0.270 0 57946.537513486997341 905001 905091 1 94 39
0.5 0.0 62.110 665002 665.002 1 1 0.270 0 57946.534735720997560 665002 665110 1 114 30
0.5 0.0 62.120 1505001 1505.001 0 1 0.270 0 57946.544457930998760 1505001 1505093 1 94 12
0.5 0.0 62.190 1385001 1385.001 0 1 0.270 0 57946.543069042003481 1385001 1385090 1 117 42
0.5 0.0 62.190 725001 725.001 0 1 0.270 0 57946.535430153002380 725001 725134 1 134 32
0.5 0.0 62.220 2525001 2525.001 0 1 0.270 0 57946.556263487000251 2525001 2525093 1 98 31
0.5 0.0 62.250 1025002 1025.002 1 1 0.270 0 57946.538902387001144 1025002 1025111 1 113 26
0.5 0.0 62.250 545001 545.001 0 1 0.270 0 57946.533346819996950 545001 545112 1 113 47
0.5 0.0 62.360 2405001 2405.001 0 1 0.270 0 57946.554874597997696 2405001 2405082 1 83 29
0.5 0.0 62.390 2105001 2105.001 0 1 0.270 0 57946.551402375996986 2105001 2105082 1 83 18
0.5 0.0 62.400 1805001 1805.001 0 1 0.270 0 57946.547930152999470 1805001 1805126 1 134 22
0.5 0.0 62.430 1085001 1085.001 0 1 0.270 0 57946.539596820002771 1085001 1085116 1 116 28
0.5 0.0 62.490 2825001 2825.001 0 1 0.270 0 57946.559735709000961 2825001 2825119 1 127 38
0.5 0.0 62.540 1685001 1685.001 0 1 0.270 0 57946.546541265000997 1685001 1685106 1 108 35
0.5 0.0 62.550 3005001 3005.001 0 1 0.270 0 57946.561819041999115 3005001 3005081 1 82 26
0.5 0.0 62.560 305001 305.001 0 1 0.270 0 57946.530569041999115 305001 305127 1 133 41
0.5 0.0 62.580 1565001 1565.001 0 1 0.270 0 57946.545152375998441 1565001 1565108 1 112 27
0.5 0.0 62.680 2945001 2945.001 0 1 0.270 0 57946.561124598003516 2945001 2945079 1 81 6
0.5 0.0 62.680 485001 485.001 0 1 0.270 0 57946.532652376001352 485001 485081 1 87 38
0.5 0.0 62.760 2645001 2645.001 0 1 0.270 0 57946.557652376002807 2645001 2645098 1 101 25
0.5 0.0 62.970 1145002 1145.002 1 1 0.270 0 57946.540291275996424 1145002 1145125 1 127 6
0.5 0.0 63.050 1625001 1625.001 0 1 0.270 0 57946.545846820001316 1625001 1625125 1 127 30
0.5 0.0 63.500 2765001 2765.001 0 1 0.270 0 57946.559041264998086 2765001 2765111 1 124 6
0.5 0.0 63.570 2585001 2585.001 0 1 0.270 0 57946.556957931003126 2585001 2585112 1 112 19
0.5 0.0 7.150 1402135 1402.135 0 7377 2004.560 0 57946.543267353001283 1402135 1402135 7375 7377 3
0.5 50.0 57.020 2045184 2045.184 1 184 50.000 0 57946.550710048999463 2045113 2045296 82 296 52
0.5 50.0 57.190 2105184 2105.184 1 184 50.000 0 57946.551404493999144 2105072 2105295 44 296 49
0.5 50.0 57.510 1565184 1565.184 1 184 50.000 0 57946.545154494000599 1565083 1565273 51 277 36
0.5 50.0 57.720 2825184 2825.184 1 184 50.000 0 57946.559737827003119 2825069 2825279 39 282 51
0.5 50.0 57.860 125184 125.184 1 184 50.000 0 57946.528487827003119 125091 125278 65 278 33
0.5 50.0 57.890 2405184 2405.184 1 184 50.000 0 57946.554876715999853 2405119 2405259 95 264 38
0.5 50.0 57.910 245184 245.184 1 184 50.000 0 57946.529876715998398 245130 245268 99 269 42
0.5 50.0 57.910 2885184 2885.184 1 184 50.000 0 57946.560432272002799 2885100 2885286 73 288 35
0.5 50.0 58.060 2705184 2705.184 1 184 50.000 0 57946.558348938000563 2705125 2705265 86 271 48
0.5 50.0 58.190 1505184 1505.184 1 184 50.000 0 57946.544460049000918 1505064 1505262 30 271 38
0.5 50.0 58.190 1685184 1685.184 1 184 50.000 0 57946.546543383003154 1685093 1685260 65 261 39
0.5 50.0 58.190 1985184 1985.184 1 184 50.000 0 57946.550015604996588 1985072 1985277 40 281 30
0.5 50.0 58.380 2465184 2465.184 1 184 50.000 0 57946.555571160002728 2465100 2465274 74 285 50
0.5 50.0 58.390 1145184 1145.184 1 184 50.000 0 57946.540293382997334 1145105 1145257 78 258 48
0.5 50.0 58.390 365184 365.184 1 184 50.000 0 57946.531265605000954 365084 365267 76 267 49
0.5 50.0 58.520 2765184 2765.184 1 184 50.000 0 57946.559043383000244 2765072 2765272 41 274 40
0.5 50.0 58.530 1865184 1865.184 1 184 50.000 0 57946.548626716001309 1865124 1865271 77 279 49
0.5 50.0 58.690 785184 785.184 1 184 50.000 0 57946.536126715996943 785070 785296 38 297 32
0.5 50.0 58.750 305184 305.184 1 184 50.000 0 57946.530571160001273 305092 305274 69 281 49
0.5 50.0 58.760 1385184 1385.184 1 184 50.000 0 57946.543071159998362 1385098 1385281 69 284 51
0.5 50.0 58.760 2225184 2225.184 1 184 50.000 0 57946.552793383001699 2225100 2225296 63 309 49
0.5 50.0 58.770 965184 965.184 1 184 50.000 0 57946.538210049002373 965072 965271 42 276 50
0.5 50.0 58.790 2345184 2345.184 1 184 50.000 0 57946.554182271996979 2345111 2345281 79 287 50
0.5 50.0 58.820 1265184 1265.184 1 184 50.000 0 57946.541682271999889 1265102 1265273 76 282 49
0.5 50.0 58.850 425184 425.184 1 184 50.000 0 57946.531960048996552 425077 425274 45 278 44
0.5 50.0 58.890 185184 185.184 1 184 50.000 0 57946.529182272002799 185104 185278 82 311 30
0.5 50.0 59.050 1325184 1325.184 1 184 50.000 0 57946.542376716002764 1325089 1325275 65 276 49
0.5 50.0 59.200 845184 845.184 1 184 50.000 0 57946.536821159999818 845082 845273 51 279 29
0.5 50.0 59.260 1925184 1925.184 1 184 50.000 0 57946.549321159996907 1925097 1925269 68 280 48
0.5 50.0 59.290 2645184 2645.184 1 184 50.000 0 57946.557654493997688 2645089 2645284 63 300 49
0.5 50.0 59.460 665184 665.184 1 184 50.000 0 57946.534737827001663 665023 665283 1 284 50
0.5 50.0 59.490 65184 65.184 1 184 50.000 0 57946.527793383000244 65082 65268 14 269 38
0.5 50.0 59.680 1445184 1445.184 1 184 50.000 0 57946.543765604998043 1445099 1445277 63 285 30
0.5 50.0 59.720 2585184 2585.184 1 184 50.000 0 57946.556960048998008 2585076 2585271 51 273 48
0.5 50.0 59.750 605184 605.184 1 184 50.000 0 57946.534043382998789 605127 605280 94 283 49
0.5 50.0 59.770 2285184 2285.184 1 184 50.000 0 57946.553487826997298 2285120 2285270 89 274 50
0.5 50.0 59.790 1625184 1625.184 1 184 50.000 0 57946.545848938003473 1625101 1625284 83 284 49
0.5 50.0 59.790 2945184 2945.184 1 184 50.000 0 57946.561126715998398 2945084 2945260 52 265 42
0.5 50.0 59.800 1085184 1085.184 1 184 50.000 0 57946.539598937997653 1085109 1085287 92 290 34
0.5 50.0 59.830 3005184 3005.184 1 184 50.000 0 57946.561821160001273 3005118 3005282 83 287 49
0.5 50.0 59.960 905184 905.184 1 184 50.000 0 57946.537515604999498 905110 905306 86 307 52
0.5 50.0 60.000 2165184 2165.184 1 184 50.000 0 57946.552098938002018 2165091 2165273 60 284 40
0.5 50.0 60.170 485184 485.184 1 184 50.000 0 57946.532654494003509 485102 485280 72 283 29
0.5 50.0 60.250 1025184 1025.184 1 184 50.000 0 57946.538904494002054 1025104 1025291 72 304 40
0.5 50.0 60.260 1205184 1205.184 1 184 50.000 0 57946.540987827000208 1205089 1205285 56 291 50
0.5 50.0 60.300 2525184 2525.184 1 184 50.000 0 57946.556265605002409 2525098 2525260 63 264 51
0.5 50.0 60.400 1805184 1805.184 1 184 50.000 0 57946.547932271998434 1805084 1805300 56 302 50
0.5 50.0 60.550 725184 725.184 1 184 50.000 0 57946.535432272001344 725088 725263 56 265 36
0.5 50.0 60.740 545184 545.184 1 184 50.000 0 57946.533348937999108 545102 545276 66 278 30
0.5 50.0 60.920 1745184 1745.184 1 184 50.000 0 57946.547237826998753 1745045 1745305 1 307 46
0.5 50.0 7.000 1565058 1565.058 30 29 7.880 0 57946.545153034996474 1565058 1565058 29 29 1
0.5 50.0 7.010 1085060 1085.060 14 45 12.230 0 57946.539597502996912 1085060 1085060 45 45 1
0.5 50.0 7.010 2045038 2045.038 19 18 4.890 0 57946.550708358998236 2045038 2045038 18 18 1
0.5 50.0 7.190 2465050 2465.050 28 21 5.710 0 57946.555569609001395 2465045 2465061 18 37 13
0.5 50.0 7.230 965032 965.032 31 1 0.270 0 57946.538208290003240 965032 965035 1 4 3
0.5 50.0 7.350 185035 185.035 29 7 1.900 0 57946.529180546996940 185032 185039 1 12 15
0.5 100.0 52.000 2885368 2885.368 1 367 99.730 0 57946.560434400998929 2885308 2885430 275 444 45
0.5 100.0 52.280 785368 785.368 1 367 99.730 0 57946.536128845997155 785246 785448 231 457 51
0.5 100.0 52.420 2465368 2465.368 1 367 99.730 0 57946.555573290002940 2465297 2465449 270 452 37
0.5 100.0 52.510 1445369 1445.369 1 368 100.000 0 57946.543767745999503 1445282 1445429 268 429 33
0.5 100.0 52.660 1385368 1385.368 1 367 99.730 0 57946.543073289998574 1385297 1385443 260 450 50
0.5 100.0 52.680 2645368 2645.368 1 367 99.730 0 57946.557656623001094 2645272 2645447 241 448 47
0.5 100.0 52.940 365368 365.368 1 367 99.730 0 57946.531267733997083 365323 365443 295 451 35
0.5 100.0 53.020 125368 125.368 1 367 99.730 0 57946.528489957003330 125257 125434 236 435 38
0.5 100.0 53.140 2045368 2045.368 1 367 99.730 0 57946.550712178999675 2045273 2045442 246 460 28
0.5 100.0 53.140 905368 905.368 1 367 99.730 0 57946.537517734002904 905277 905454 242 462 30
0.5 100.0 53.160 1505368 1505.368 1 367 99.730 0 57946.544462179001130 1505302 1505453 277 453 49
0.5 100.0 53.220 1685368 1685.368 1 367 99.730 0 57946.546545511999284 1685288 1685445 254 454 49
0.5 100.0 53.230 2825368 2825.368 1 367 99.730 0 57946.559739957003330 2825302 2825439 277 442 50
0.5 100.0 53.240 1865368 1865.368 1 367 99.730 0 57946.548628846001520 1865270 1865451 235 454 50
0.5 100.0 53.250 185368 185.368 1 367 99.730 0 57946.529184400998929 185298 185427 256 498 50
0.5 100.0 53.360 1565368 1565.368 1 367 99.730 0 57946.545156622996728 1565311 1565435 279 435 50
0.5 100.0 53.390 605368 605.368 1 367 99.730 0 57946.534045512002194 605299 605440 269 446 50
0.5 100.0 53.540 65368 65.368 1 367 99.730 0 57946.527795511996374 65301 65451 277 456 50
0.5 100.0 53.570 2285369 2285.369 1 368 100.000 0 57946.553489967998757 2285236 2285453 181 479 36
0.5 100.0 53.610 1085368 1085.368 1 367 99.730 0 57946.539601067997864 1085273 1085440 233 444 50
0.5 100.0 53.700 845368 845.368 1 367 99.730 0 57946.536823290000029 845311 845461 285 470 42
0.5 100.0 53.720 1325369 1325.369 1 368 100.000 0 57946.542378856996947 1325267 1325443 235 442 49
0.5 100.0 53.760 2405368 2405.368 1 367 99.730 0 57946.554878846000065 2405322 2405457 282 471 41
0.5 100.0 53.950 2585368 2585.368 1 367 99.730 0 57946.556962178998219 2585303 2585444 268 459 43
0.5 100.0 54.120 545368 545.368 1 367 99.730 0 57946.533351067999320 545297 545435 270 445 48
0.5 100.0 54.160 2525368 2525.368 1 367 99.730 0 57946.556267733998538 2525294 2525446 266 458 31
0.5 100.0 54.250 1805368 1805.368 1 367 99.730 0 57946.547934401001839 1805307 1805448 276 447 49
0.5 100.0 54.300 1205368 1205.368 1 367 99.730 0 57946.540989957000420 1205269 1205444 236 460 49
0.5 100.0 54.310 425368 425.368 1 367 99.730 0 57946.531962178996764 425299 425461 262 478 31
0.5 100.0 54.330 2945369 2945.369 1 368 100.000 0 57946.561128856999858 2945242 2945442 211 447 28
0.5 100.0 54.350 2705368 2705.368 1 367 99.730 0 57946.558351068000775 2705279 2705434 241 453 48
0.5 100.0 54.450 2765368 2765.368 1 367 99.730 0 57946.559045511996374 2765304 2765439 272 478 49
0.5 100.0 54.500 1265369 1265.369 1 368 100.000 0 57946.541684413001349 1265240 1265449 207 473 50
0.5 100.0 54.510 245368 245.368 1 367 99.730 0 57946.529878845998610 245279 245435 247 440 31
0.5 100.0 54.510 305369 305.369 1 368 100.000 0 57946.530573301999539 305274 305437 240 453 49
0.5 100.0 54.540 2345368 2345.368 1 367 99.730 0 57946.554184401000384 2345298 2345467 265 471 36
0.5 100.0 54.580 665368 665.368 1 367 99.730 0 57946.534739957001875 665272 665455 243 455 51
0.5 100.0 54.610 3005368 3005.368 1 367 99.730 0 57946.561823290001485 3005300 3005439 279 464 49
0.5 100.0 54.670 2225368 2225.368 1 367 99.730 0 57946.552795511997829 2225296 2225434 272 436 49
0.5 100.0 54.750 1745368 1745.368 1 367 99.730 0 57946.547239956998965 1745286 1745452 253 458 51
0.5 100.0 54.820 1025368 1025.368 1 367 99.730 0 57946.538906622998184 1025233 1025466 201 472 48
0.5 100.0 54.820 1985368 1985.368 1 367 99.730 0 57946.550017733999994 1985276 1985454 251 454 29
0.5 100.0 54.850 2105368 2105.368 1 367 99.730 0 57946.551406623002549 2105262 2105465 233 468 29
0.5 100.0 54.990 725368 725.368 1 367 99.730 0 57946.535434400997474 725276 725448 251 485 49
0.5 100.0 55.290 2165368 2165.368 1 367 99.730 0 57946.552101068002230 2165236 2165460 200 466 50
0.5 100.0 55.440 1145368 1145.368 1 367 99.730 0 57946.540295512000739 1145313 1145433 279 435 31
0.5 100.0 55.570 1625368 1625.368 1 367 99.730 0 57946.545851067996409 1625289 1625449 268 453 48
0.5 100.0 55.920 485368 485.368 1 367 99.730 0 57946.532656622999639 485254 485447 220 467 33
0.5 100.0 56.110 1925368 1925.368 1 367 99.730 0 57946.549323289997119 1925307 1925431 260 464 49
0.5 100.0 56.130 965368 965.368 1 367 99.730 0 57946.538212179002585 965285 965452 230 455 50
0.5 100.0 7.090 2405270 2405.270 27 241 65.490 0 57946.554877711001609 2405255 2405271 222 243 7
0.5 100.0 7.170 605238 605.238 13 223 60.600 0 57946.534044008003548 605235 605259 217 227 12
0.5 100.0 7.190 365282 365.282 10 270 73.370 0 57946.531266739002604 365282 365282 270 270 1
0.5 100.0 7.580 2765253 2765.253 25 227 61.680 0 57946.559044180998171 2765233 2765267 201 242 42
0.5 100.0 7.720 545241 545.241 15 225 61.140 0 57946.533349598001223 545229 545257 202 231 49
0.5 150.0 48.560 1985551 1985.551 1 550 149.450 0 57946.550019852998958 1985515 1985616 485 617 47
0.5 150.0 48.960 3005551 3005.551 1 550 149.450 0 57946.561825407996366 3005470 3005627 433 631 48
0.5 150.0 49.020 1145552 1145.552 2 551 149.720 0 57946.540297642000951 1145513 1145614 483 617 47
0.5 150.0 49.090 1265551 1265.551 1 550 149.450 0 57946.541686518998176 1265511 1265608 480 632 39
0.5 150.0 49.140 2945552 2945.552 2 551 149.720 0 57946.561130975002015 2945507 2945622 472 635 38
0.5 150.0 49.320 965551 965.551 1 550 149.450 0 57946.538214296997467 965500 965627 463 642 49
0.5 150.0 49.340 2225552 2225.552 2 551 149.720 0 57946.552797641998040 2225488 2225622 445 636 49
0.5 150.0 49.420 1805552 1805.552 2 551 149.720 0 57946.547936531002051 1805506 1805645 466 659 42
0.5 150.0 49.460 2585552 2585.552 2 551 149.720 0 57946.556964308998431 2585509 2585613 476 619 51
0.5 150.0 49.500 1205552 1205.552 2 551 149.720 0 57946.540992085996550 1205457 1205631 423 631 49
0.5 150.0 49.520 1625552 1625.552 2 551 149.720 0 57946.545853196999815 1625507 1625633 472 641 32
0.5 150.0 49.560 2105552 2105.552 2 551 149.720 0 57946.551408753002761 2105501 2105635 467 641 35
0.5 150.0 49.620 1925551 1925.551 1 550 149.450 0 57946.549325407999277 1925511 1925641 478 662 39
0.5 150.0 49.700 425551 425.551 1 550 149.450 0 57946.531964296998922 425506 425620 463 624 47
0.5 150.0 49.700 65551 65.551 1 550 149.450 0 57946.527797629998531 65501 65642 479 645 48
0.5 150.0 49.740 2765552 2765.552 2 551 149.720 0 57946.559047641996585 2765478 2765656 446 662 38
0.5 150.0 49.770 485552 485.552 2 551 149.720 0 57946.532658752999851 485501 485627 474 632 24
0.5 150.0 49.800 185552 185.552 2 551 149.720 0 57946.529186530999141 185500 185613 469 630 27
0.5 150.0 49.820 1385552 1385.552 2 551 149.720 0 57946.543075419998786 1385476 1385636 460 638 52
0.5 150.0 49.930 2465551 2465.551 1 550 149.450 0 57946.555575407997821 2465517 2465610 486 627 49
0.5 150.0 49.980 2405551 2405.551 1 550 149.450 0 57946.554880964002223 2405500 2405628 466 628 46
0.5 150.0 50.010 1565551 1565.551 1 550 149.450 0 57946.545158740998886 1565502 1565640 463 642 50
0.5 150.0 50.070 2285551 2285.551 1 550 149.450 0 57946.553492074999667 2285482 2285609 453 621 52
0.5 150.0 50.080 305551 305.551 1 550 149.450 0 57946.530575407996366 305502 305615 467 637 31
0.5 150.0 50.200 1445552 1445.552 2 551 149.720 0 57946.543769864001661 1445502 1445625 470 647 49
0.5 150.0 50.250 2885551 2885.551 1 550 149.450 0 57946.560436519001087 2885487 2885632 458 659 12
0.5 150.0 50.250 845551 845.551 1 550 149.450 0 57946.536825408002187 845506 845612 466 652 47
0.5 150.0 50.320 125552 125.552 2 551 149.720 0 57946.528492085999460 125497 125636 453 639 51
0.5 150.0 50.370 665551 665.551 1 550 149.450 0 57946.534742074996757 665516 665636 477 638 49
0.5 150.0 50.470 725552 725.552 2 551 149.720 0 57946.535436530997686 725499 725636 469 638 48
0.5 150.0 50.610 2165551 2165.551 1 550 149.450 0 57946.552103185997112 2165507 2165619 476 629 37
0.5 150.0 50.650 2645552 2645.552 2 551 149.720 0 57946.557658753001306 2645500 2645627 466 634 50
0.5 150.0 50.720 2345552 2345.552 2 551 149.720 0 57946.554186531000596 2345499 2345621 469 629 49
0.5 150.0 50.770 245551 245.551 1 550 149.450 0 57946.529880964000768 245455 245634 418 648 33
0.5 150.0 51.000 605552 605.552 2 551 149.720 0 57946.534047642002406 605506 605639 465 650 35
0.5 150.0 51.070 2825551 2825.551 1 550 149.450 0 57946.559742074998212 2825506 2825613 476 632 37
0.5 150.0 51.130 2705551 2705.551 1 550 149.450 0 57946.558353186002932 2705490 2705633 453 669 49
0.5 150.0 51.140 785552 785.552 2 551 149.720 0 57946.536130975000560 785485 785645 455 644 49
0.5 150.0 51.220 905551 905.551 1 550 149.450 0 57946.537519853001868 905481 905644 444 652 41
0.5 150.0 51.270 2045551 2045.551 1 550 149.450 0 57946.550714297001832 2045494 2045613 459 631 45
0.5 150.0 51.300 1325552 1325.552 2 551 149.720 0 57946.542380974999105 1325453 1325628 406 633 38
0.5 150.0 51.380 1865551 1865.551 1 550 149.450 0 57946.548630963996402 1865495 1865634 463 678 43
0.5 150.0 51.390 2525551 2525.551 1 550 149.450 0 57946.556269852997502 2525472 2525628 443 688 30
0.5 150.0 51.410 1685551 1685.551 1 550 149.450 0 57946.546547630001442 1685463 1685646 430 648 44
0.5 150.0 51.730 1025552 1025.552 2 551 149.720 0 57946.538908752998395 1025496 1025653 463 664 50
0.5 150.0 51.730 365551 365.551 1 550 149.450 0 57946.531269853003323 365473 365632 437 658 34
0.5 150.0 51.730 545551 545.551 1 550 149.450 0 57946.533353186001477 545506 545621 476 635 49
0.5 150.0 51.810 1745552 1745.552 2 551 149.720 0 57946.547242086002370 1745510 1745630 466 631 40
0.5 150.0 52.210 1505551 1505.551 1 550 149.450 0 57946.544464297003287 1505462 1505628 436 656 30
0.5 150.0 52.390 1085552 1085.552 2 551 149.720 0 57946.539603197001270 1085511 1085618 482 618 32
0.5 200.0 47.080 2405735 2405.735 2 733 199.180 0 57946.554883092998352 2405688 2405830 656 834 32
0.5 200.0 47.770 2585735 2585.735 2 733 199.180 0 57946.556966427000589 2585675 2585815 624 830 36
0.5 200.0 47.810 1145735 1145.735 2 733 199.180 0 57946.540299760003109 1145672 1145813 639 816 29
0.5 200.0 48.090 485735 485.735 2 733 199.180 0 57946.532660871002008 485701 485830 650 856 33
0.5 200.0 48.240 425735 425.735 2 733 199.180 0 57946.531966426999134 425672 425824 636 842 51
0.5 200.0 48.240 965735 965.735 2 733 199.180 0 57946.538216426997678 965678 965832 646 835 31
0.5 200.0 48.490 65735 65.735 2 733 199.180 0 57946.527799759998743 65689 65848 654 850 34
0.5 200.0 48.640 1445735 1445.735 2 733 199.180 0 57946.543771981996542 1445678 1445805 648 830 45
0.5 200.0 48.700 1265736 1265.736 1 735 199.720 0 57946.541688659999636 1265684 1265817 650 845 41
0.5 200.0 48.760 1745735 1745.735 2 733 199.180 0 57946.547244203997252 1745688 1745814 665 816 35
0.5 200.0 48.800 185735 185.735 2 733 199.180 0 57946.529188649001298 185669 185815 636 824 35
0.5 200.0 48.810 725735 725.735 2 733 199.180 0 57946.535438648999843 725698 725858 652 862 31
0.5 200.0 48.830 545735 545.735 2 733 199.180 0 57946.533355314997607 545685 545848 637 854 48
0.5 200.0 48.840 125735 125.735 2 733 199.180 0 57946.528494204001618 125680 125800 647 824 32
0.5 200.0 48.850 2525735 2525.735 2 733 199.180 0 57946.556271982000908 2525685 2525842 643 846 49
0.5 200.0 48.870 1205735 1205.735 2 733 199.180 0 57946.540994203998707 1205678 1205828 645 844 49
0.5 200.0 48.890 785735 785.735 2 733 199.180 0 57946.536133093002718 785684 785832 578 840 47
0.5 200.0 48.910 2945735 2945.735 2 733 199.180 0 57946.561133092996897 2945665 2945825 631 869 50
0.5 200.0 48.920 665735 665.735 2 733 199.180 0 57946.534744204000162 665693 665820 651 837 33
0.5 200.0 48.940 245735 245.735 2 733 199.180 0 57946.529883092996897 245648 245816 614 821 53
0.5 200.0 49.050 1025735 1025.735 2 733 199.180 0 57946.538910871000553 1025659 1025804 624 805 49
0.5 200.0 49.070 1385735 1385.735 2 733 199.180 0 57946.543077538000944 1385691 1385815 654 816 35
0.5 200.0 49.200 2225735 2225.735 2 733 199.180 0 57946.552799760000198 2225674 2225831 646 835 46
